Site,Plot,Type,Date,Order,Family,Sex,Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R5,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R5,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R5,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R5,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R5,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R5,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R5,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R6,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R6,Restored,6/16/2015,Araneae,Thomisidae,Female,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R6,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R6,Restored,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D1,Degraded,6/16/2015,Araneae,Thomisidae,Female,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D1,Degraded,6/16/2015,Araneae,Thomisidae,Female,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D1,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D1,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D1,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D2,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D3,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D3,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D3,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D3,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D3,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D3,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D3,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D3,Degraded,6/16/2015,Araneae,Thomisidae,Female,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D3,Degraded,6/16/2015,Araneae,Thomisidae,Female,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D4,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D4,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D4,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D4,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D4,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D4,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D4,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D4,Degraded,6/16/2015,Araneae,Thomisidae,Female,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D4,Degraded,6/16/2015,Araneae,Thomisidae,Female,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D4,Degraded,6/16/2015,Araneae,Thomisidae,Female,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D5,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D5,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D5,Degraded,6/16/2015,Araneae,Thomisidae,Female,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D5,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D5,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D5,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D6,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D6,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D6,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D6,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D6,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D6,Degraded,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N2,Native,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N2,Native,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N2,Native,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N2,Native,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N2,Native,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N2,Native,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N2,Native,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N3,Native,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N3,Native,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N6,Native,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N6,Native,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N6,Native,6/16/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R2,Restored,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R2,Restored,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R2,Restored,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R2,Restored,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R4,Restored,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R4,Restored,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R5,Restored,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R5,Restored,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R6,Restored,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R6,Restored,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D1,Degraded,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D1,Degraded,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D1,Degraded,7/21/2015,Araneae,Thomisidae,Male,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D4,Degraded,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D4,Degraded,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D4,Degraded,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D5,Degraded,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D5,Degraded,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D6,Degraded,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D6,Degraded,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N1,Native,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N2,Native,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N2,Native,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N3,Native,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N4,Native,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N5,Native,7/21/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D1,Degraded,8/10/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D1,Degraded,8/10/2015,Araneae,Thomisidae,Male,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D1,Degraded,8/10/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D3,Degraded,8/10/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D4,Degraded,8/10/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D5,Degraded,8/10/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D5,Degraded,8/10/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D6,Degraded,8/10/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,D6,Degraded,8/10/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N2,Native,8/10/2015,Araneae,Thomisidae,Male,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N2,Native,8/10/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,N2,Native,8/10/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R1,Restored,8/10/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R1,Restored,8/10/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R1,Restored,8/10/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R3,Restored,8/10/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R4,Restored,8/10/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNC-B,R5,Restored,8/10/2015,Araneae,Thomisidae,Unknown,Immature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
